Index	Token
0	￿
1	<UNK>
2	 
3	!#S
4	"""#S"
5	##S
6	$#S
7	%#S
8	%P#S
9	%p#S
10	&#S
11	'#S
12	(#S
13	)#S
14	*#S
15	+#S
16	,#S
17	-#S
18	.#S
19	...#S
20	/#S
21	0#N
22	0#S
23	00#N
24	00#S
25	000#N
26	0001#N
27	001#N
28	0010#N
29	0011#N
30	002#N
31	003#N
32	004#N
33	005#N
34	007#N
35	0070#N
36	008#N
37	009#N
38	01#N
39	010#N
40	011#N
41	0114#N
42	014#N
43	015#N
44	016#N
45	017#N
46	018#N
47	019#N
48	0199#N
49	02#N
50	020#N
51	0225#N
52	023#N
53	024#N
54	025#N
55	028#N
56	029#N
57	03#N
58	030#N
59	031#N
60	032#N
61	033#N
62	0331#N
63	0338#N
64	0342#N
65	0346#N
66	0351#N
67	0356#N
68	0357#N
69	0361#N
70	0391#N
71	04#N
72	041#N
73	0417#N
74	042#N
75	043#N
76	0431#N
77	0458#N
78	046#N
79	048#N
80	05#N
81	050#N
82	051#N
83	053#N
84	054#N
85	055#N
86	0551#N
87	0591#N
88	06#N
89	060#N
90	061#N
91	062#N
92	063#N
93	064#N
94	0652#N
95	067#N
96	068#N
97	07#N
98	070#N
99	08#N
100	080#N
101	082#N
102	083#N
103	084#N
104	086#N
105	087#N
106	088#N
107	09#N
108	094#N
109	096#N
110	1#N
111	10#N
112	100#N
113	1000#N
114	10000#N
115	1001#N
116	1002#N
117	1003#N
118	1004#N
119	1005#N
120	1006#N
121	1007#N
122	1008#N
123	100선#N
124	101#N
125	1010#N
126	1011#N
127	1014#N
128	1015#N
129	1017#N
130	1018#N
131	102#N
132	1020#N
133	1022#N
134	1024#N
135	1026#N
136	1027#N
137	1029#N
138	103#N
139	1030#N
140	1031#N
141	1033#N
142	1038#N
143	104#N
144	1040#N
145	1042#N
146	1047#N
147	1049#N
148	105#N
149	1050#N
150	1054#N
151	1055#N
152	1056#N
153	1057#N
154	1058#N
155	1059#N
156	106#N
157	1060#N
158	1061#N
159	10646#N
160	1065#N
161	1066#N
162	1068#N
163	107#N
164	1070#N
165	1073#N
166	1074#N
167	1075#N
168	1076#N
169	1078#N
170	1079#N
171	108#N
172	1080#N
173	1082#N
174	1083#N
175	1085#N
176	1086#N
177	1087#N
178	109#N
179	1090#N
180	1093#N
181	1095#N
182	1096#N
183	1097#N
184	1099#N
185	11#N
186	110#N
187	1100#N
188	1101#N
189	1102#N
190	1103#N
191	1104#N
192	1107#N
193	1108#N
194	111#N
195	1110#N
196	1111#N
197	1113#N
198	1115#N
199	1117#N
200	1118#N
201	112#N
202	1120#N
203	1121#N
204	1122#N
205	1123#N
206	1125#N
207	1127#N
208	1128#N
209	113#N
210	1130#N
211	1132#N
212	1133#N
213	1134#N
214	1135#N
215	1138#N
216	1139#N
217	114#N
218	1140#N
219	1142#N
220	1144#N
221	1148#N
222	1149#N
223	115#N
224	1150#N
225	1151#N
226	1154#N
227	1156#N
228	116#N
229	1160#N
230	1162#N
231	1164#N
232	1167#N
233	1168#N
234	117#N
235	1170#N
236	1172#N
237	1175#N
238	1176#N
239	118#N
240	1180#N
241	1185#N
242	1186#N
243	1189#N
244	119#N
245	1190#N
246	1192#N
247	1195#N
248	1196#N
249	1198#N
250	11번가#N
251	12#N
252	120#N
253	1200#N
254	1202#N
255	1204#N
256	1205#N
257	1206#N
258	1209#N
259	121#N
260	1210#N
261	1211#N
262	1212#N
263	1213#N
264	1214#N
265	1216#N
266	1217#N
267	1218#N
268	1219#N
269	122#N
270	1220#N
271	1222#N
272	1223#N
273	1225#N
274	1226#N
275	123#N
276	1230#N
277	1231#N
278	1233#N
279	1234#N
280	1237#N
281	1238#N
282	1239#N
283	124#N
284	1240#N
285	1241#N
286	1244#N
287	1246#N
288	125#N
289	1250#N
290	1256#N
